Files already downloaded and verified
EMNIST R4 [comm_greedy - static]: t=1858.20s, loss=1.1827, acc=0.6485, jfi=0.4000, auc=0.9798, roc=0.9802
EMNIST R5 [comm_greedy - static]: t=2322.75s, loss=1.0705, acc=0.6830, jfi=0.4000, auc=0.9827, roc=0.9835
EMNIST R6 [comm_greedy - static]: t=2787.30s, loss=0.9734, acc=0.7095, jfi=0.4000, auc=0.9855, roc=0.9864
EMNIST R7 [comm_greedy - static]: t=3251.85s, loss=0.9382, acc=0.7189, jfi=0.4000, auc=0.9869, roc=0.9873
EMNIST R8 [comm_greedy - static]: t=3716.40s, loss=0.8851, acc=0.7298, jfi=0.4000, auc=0.9882, roc=0.9888
EMNIST R9 [comm_greedy - static]: t=4180.95s, loss=0.8141, acc=0.7531, jfi=0.4000, auc=0.9896, roc=0.9904
EMNIST R10 [comm_greedy - static]: t=4645.50s, loss=0.7900, acc=0.7497, jfi=0.4000, auc=0.9904, roc=0.9911
EMNIST R11 [comm_greedy - static]: t=5110.05s, loss=0.7387, acc=0.7711, jfi=0.4000, auc=0.9913, roc=0.9921
EMNIST R12 [comm_greedy - static]: t=5574.60s, loss=0.7090, acc=0.7791, jfi=0.4000, auc=0.9919, roc=0.9927
EMNIST R13 [comm_greedy - static]: t=6039.15s, loss=0.6750, acc=0.7885, jfi=0.4000, auc=0.9925, roc=0.9934
EMNIST R14 [comm_greedy - static]: t=6503.70s, loss=0.6647, acc=0.7876, jfi=0.4000, auc=0.9929, roc=0.9936
EMNIST R15 [comm_greedy - static]: t=6968.25s, loss=0.6256, acc=0.8033, jfi=0.4000, auc=0.9934, roc=0.9943
EMNIST R16 [comm_greedy - static]: t=7432.80s, loss=0.6171, acc=0.8019, jfi=0.4000, auc=0.9937, roc=0.9945
EMNIST R17 [comm_greedy - static]: t=7897.35s, loss=0.5982, acc=0.8034, jfi=0.4000, auc=0.9940, roc=0.9948
EMNIST R18 [comm_greedy - static]: t=8361.90s, loss=0.5754, acc=0.8141, jfi=0.4000, auc=0.9944, roc=0.9952
EMNIST R19 [comm_greedy - static]: t=8826.45s, loss=0.5620, acc=0.8180, jfi=0.4000, auc=0.9945, roc=0.9954
EMNIST R20 [comm_greedy - static]: t=9291.00s, loss=0.5417, acc=0.8255, jfi=0.4000, auc=0.9948, roc=0.9957
EMNIST R21 [comm_greedy - static]: t=9755.55s, loss=0.5337, acc=0.8269, jfi=0.4000, auc=0.9949, roc=0.9958
EMNIST R22 [comm_greedy - static]: t=10220.10s, loss=0.5309, acc=0.8250, jfi=0.4000, auc=0.9951, roc=0.9960
EMNIST R23 [comm_greedy - static]: t=10684.65s, loss=0.5215, acc=0.8291, jfi=0.4000, auc=0.9952, roc=0.9961
EMNIST R24 [comm_greedy - static]: t=11149.20s, loss=0.5069, acc=0.8328, jfi=0.4000, auc=0.9953, roc=0.9962
EMNIST R25 [comm_greedy - static]: t=11613.75s, loss=0.4944, acc=0.8369, jfi=0.4000, auc=0.9955, roc=0.9964
EMNIST R26 [comm_greedy - static]: t=12078.30s, loss=0.4942, acc=0.8369, jfi=0.4000, auc=0.9956, roc=0.9964
